id,name,email,language_id,description,latitude,longitude,type_id,subtype_id,subtype_google,phone_number,website_address,from_google_place,valid,created_at,updated_at,address,image_file_name,image_content_type,image_file_size,image_updated_at
1,Igreja de Cristo em Boa Esperança,pastorjoelm.com,2,Igreja Evangélica,-5.925767,-35.26192000000003,10,115,,(84) 3645-2421,,true,true,2016-03-28T12:42:41.752Z,2016-03-28T12:42:41.752Z,"Avenida Tenente Cordeiro, 363 - Centro, Parnamirim, RN - RN, Brazil",,,,
2,Hospital do Coração,,1,The hospital provides various services. It has emergency care (emergency is 24h). Serves several covenants.,-5.824492,-35.206848000000036,2,22,,(84) 4009-2000,hospitaldocoracao.com.br/,true,true,2016-03-28T12:42:44.091Z,2016-03-28T12:42:44.091Z,"Rua Auris Coelho, 235 - Lagoa Nova, Natal - RN, Brazil",resource,image/png,968282,2016-03-28T12:42:43.713Z
4,Serra Dourada Auto locadora,comercial@serradourada.net,1,Car rental service in Ponta Negra.,-5.875718,-35.17946699999999,2,85,,(84) 3236-3636,www.serradourada.net,true,true,2016-03-28T12:42:47.007Z,2016-03-28T12:42:47.007Z,"Avenida Praia de Ponta Negra, 8880 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:42:46.867Z
5,Taverna Pub,contato@tavernapub.com.br ,1,"Themed bar with medieval characters in its architecture, decor and spaces.",-5.880595,-35.17609300000004,4,56,,(84) 3236-3696,www.tavernapub.com.br,true,true,2016-03-28T12:42:48.479Z,2016-03-28T12:42:48.479Z,"Rua Doutor Manoel Augusto Bezerra de Araújo, 500 - Alto da Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,130555,2016-03-28T12:42:48.219Z
9,Marina Travel Praia Hotel,reservas@marinatravel.com.br,1,"With a privileged location, facing the Artists beach. The hotel offers 46 apartments.",-5.773993,-35.19487400000003,5,2,,(84) 3202-4848,www.marinatravel.com.br/,true,true,2016-03-28T12:42:53.902Z,2016-03-28T12:42:53.902Z,"Avenida Presidente Café Filho, 750 - Praia do Meio, Natal - RN, Brasil",resource,image/jpeg,36407,2016-03-28T12:42:53.754Z
16,Mirassol Rent A Car,,1,Offers car rental service in Natal.,-5.877153,-35.176263000000006,2,85,,(84) 3086-1199,,true,true,2016-03-28T12:43:03.511Z,2016-03-28T12:43:03.511Z,"Rua Cláudio Gomes Teixeira, 2 - Ponta Negra, Natal - RN, Brasil",resource,image/jpeg,14607,2016-03-28T12:43:03.355Z
19,Hospital Unimed,atendimento@unimednatal.com.br,2,Possui diversos serviços como consultas médicas e pronto-atendimento (a emergência funciona 24h).,-5.816524,-35.20461399999999,8,34,,(84) 3220-1500,www.unimednatal.com.br/hospital,true,true,2016-03-28T12:43:07.156Z,2016-03-28T12:43:07.156Z,"Av. Antônio Basílio, 3598 - Lagoa Nova, Natal - RN, Brasil",resource,image/jpeg,32121,2016-03-28T12:43:07.047Z
280,Disk Táxi Zona Norte,,1,Taxi service.,-5.750853800000001,-35.2556469,2,105,,(84) 3086-4766,,false,true,2016-03-28T12:50:57.903Z,2016-03-28T12:50:57.903Z,"Rua Três Barras, Potengi, 2941, Natal/RN - CEP: 59110-450",resource,image/png,29077,2016-03-28T12:50:57.799Z
15,Camarões Restaurante,,1,"One of the main restaurants in Natal, famous for its quality of the food and service offered. It closes from 3:30pm to 6:30 pm.  Check the website and find out other addresses available.",-5.876609,-35.17754000000002,1,19,,,,true,true,2016-03-28T12:43:02.469Z,2016-06-01T13:55:47.414Z,"Avenida Engenheiro Roberto Freire, 2610 - Ponta Negra, Natal - RN, Brazil",resource,image/jpeg,79445,2016-03-28T12:43:02.029Z
21,Maternidade Escola Januário Cicco,,2,"É uma maternidade-escola ,pública ,da Universidade Federal-UFRN, considerada a mais importante do estado .É referência para prática e ensino de profissões na área da saúde.",-5.781554,-35.197564,10,31,,(84) 3215-5990,,true,true,2016-03-28T12:43:09.352Z,2016-06-12T15:10:19.034Z,"Avenida Nilo Peçanha, 259 (Petrópolis). 59012-300 Natal, Rio Grande do Norte RN",resource,image/jpeg,73404,2016-03-28T12:43:09.184Z
13,Carrefour,,1,Famous supermarket network in Brazil.,-5.757531,-35.24780499999997,4,1,,(84) 3204-7300,www.carrefour.com.br/natal/,true,true,2016-03-28T12:42:59.725Z,2016-04-08T17:24:12.608Z,"Av Senador Salgado Filho, 3700 - Candelária - Natal, RN",resource,image/jpeg,61396,2016-03-28T12:42:59.529Z
12,Midway Mall,,1,"The biggest mall in the state and one of the largest in the Northeast, brings together shops, cinema and services of differents segments.",-5.812073,-35.206695,4,122,,(84) 4006-3424,www.midwaymall.com.br,true,true,2016-03-28T12:42:58.467Z,2016-04-08T17:30:37.266Z,"Avenida Bernardo Vieira, 3775 - Tirol, Natal - RN, Brasil",resource,image/jpeg,75497,2016-03-28T12:42:58.330Z
18,Norte Shopping Natal,,1,"The shopping is located in the north region of the city and boasts a beautiful view of Potengi River and the city. It houses 102 stores, restaurants and cinema in 36 thousand square meters.",-5.757655,-35.24710700000003,4,122,,(84) 3674-8200,,true,true,2016-03-28T12:43:06.093Z,2016-04-08T17:30:37.281Z,"Rua Conselheiro Tristão, 2395 - Potengi, Natal - RN, Brasil",resource,image/jpeg,43242,2016-03-28T12:43:05.954Z
20,Supermercado Nordestão - Lagoa Nova,,2,Maior Supermercado do Rio Grande do Norte e o mais tradicional.,-5.815767,-35.20659999999998,10,110,,(84) 3087-7300,www.nordestao.com.br,true,true,2016-03-28T12:43:08.081Z,2016-04-08T17:30:48.593Z,"Avenida Senador Salgado Filho, 1656 - Lagoa Nova, Natal - RN, Brasil",resource,image/jpeg,21954,2016-03-28T12:43:07.970Z
8,Danny's Park,,2,Parque de diversões infantil localizado no Shopping Via Direta.,-5.840717,-35.20901900000001,10,14,,(84) 3206-1000,,true,true,2016-03-28T12:42:52.684Z,2016-06-01T13:01:11.991Z,"Via Direta Shopping, Senador Salgado Filho, 2233 - Candelaria, Natal - Rio Grande do Norte, Brasil",resource,image/jpeg,47317,2016-03-28T12:42:52.449Z
10,Midway Mall,,2,"Maior shopping do estado reúne lojas, cinema, teatro e serviços de todos os segmentos.",-5.7903376,-35.1772205,10,94,,(84) 4006-3424,www.midwaymall.com.br,true,true,2016-03-28T12:42:55.750Z,2016-06-01T13:02:00.630Z,"Av. Bernardo Vieira, 3775 - Tirol, Natal - RN
",midway.htm.jpg,image/jpeg,75497,2016-05-11T03:00:18.295Z
22,Catedral Metropolitana,,1,"Well known as the New Cathedral  which is dedicated to Nossa Senhora da Apresentação, the city patroness. It was inaugurated on November 21st,1988. It is located in Tirol neighborhood.",-5.78807,-35.203832000000034,4,127,,(84) 3615-2800,,true,true,2016-03-28T12:43:09.448Z,2016-03-28T12:43:09.448Z,"Avenida Deodoro da Fonseca, S/N - Cidade Alta, Natal - Rio Grande do Norte, Brasil",,,,
